MIN,TOV,RANK,REB,PLAYER_ID,FG3A,AST,FG3M,OREB,FGM,TEAM,PTS,FGA,GP,STL,FTA,PLAYER,BLK,DREB,FTM,EFF,FT_PCT,FG_PCT,FG3_PCT
37.3,2.0,14,3.3,201144,6.3,7.0,2.8,0.2,8.3,MEM,24.7,17.2,6,1.67,6.2,Mike Conley,0.5,3.2,5.2,25.3,0.838,0.485,0.447
36.5,3.83,16,9.3,200794,2.8,4.3,0.5,1.5,8.3,ATL,24.3,16.5,6,1.67,8.8,Paul Millsap,0.67,7.8,7.2,26.7,0.811,0.505,0.176
37.4,2.18,17,6.1,202330,6.2,3.4,2.5,0.6,7.5,UTA,24.1,17.1,11,0.91,6.9,Gordon Hayward,0.27,5.5,6.5,22.5,0.934,0.441,0.412
34.7,3.33,18,3.1,202738,7.2,6.7,2.4,0.3,7.4,BOS,23.3,17.4,15,0.87,7.4,Isaiah Thomas,0.13,2.8,6.1,19.4,0.82,0.425,0.333
39.8,2.5,19,7.3,202710,3.8,4.3,1.0,1.5,7.7,CHI,22.7,18.0,6,1.67,7.8,Jimmy Butler,0.83,5.8,6.3,22.5,0.809,0.426,0.261
35.0,3.75,20,6.0,203468,5.5,1.0,2.8,2.0,8.0,POR,22.5,20.0,4,1.0,4.0,CJ McCollum,0.5,4.0,3.8,15.0,0.938,0.4,0.5
37.3,2.5,21,4.9,201942,1.5,3.4,0.1,0.4,7.6,TOR,22.4,17.5,10,1.4,8.0,DeMar DeRozan,0.0,4.5,7.1,18.8,0.888,0.434,0.067
40.0,2.5,22,6.5,201188,2.0,4.2,1.2,1.2,6.5,MEM,19.3,13.8,6,0.33,5.5,Marc Gasol,0.67,5.3,5.2,20.8,0.939,0.47,0.583
35.5,2.0,23,3.3,201952,4.3,6.3,2.3,0.0,5.5,IND,17.0,11.3,4,1.0,4.5,Jeff Teague,0.75,3.3,3.8,19.8,0.833,0.489,0.529
32.1,1.72,24,10.6,201567,6.2,1.7,2.8,2.0,5.3,CLE,16.8,12.1,18,1.17,4.2,Kevin Love,0.89,8.6,3.5,21.9,0.84,0.436,0.45
